GEM location ID,bus_id
L100000822927,gen2
L100000822928,gen4
L100000822929,gen4
L100000822930,gen2
L100001003893,gen2
L100001003894,gen2
L100001003895,gen2
L100000822932,gen0
L100000822933,gen2
L100000822934,gen3
L100000822935,gen4
L100000822936,gen1
L100000822937,gen1
L100000822938,gen2
L100000822939,gen2
L100000822940,gen2
L100000822941,gen2
L100000822942,gen2
L100000822944,gen2
L100000822945,gen2
L100000822946,gen1
L100000822947,gen2
L100000822948,gen2
L100000822949,gen2
L100000822950,gen4
L100000822951,gen1
L100000822952,gen1
L100000822953,gen1
L100000822954,gen1
L100000822955,gen1
L100000822956,gen1
L100000822957,gen1
L100000822958,gen1
L100000822959,gen1
L100000822961,gen2
L100000822962,gen0
L100000822963,gen2
L100000822965,gen1
L100000822966,gen1
L100000822967,gen1
L100000822968,gen1
L100000822969,gen1
L100000822970,gen1
L100000822971,gen0
L100000822972,gen0
L100000822973,gen4
L100000822974,gen0
L100000822975,gen0
L100000822976,gen4
L100000822977,gen0
L100000822978,gen0
L100000822979,gen0
L100000822980,gen0
L100001003890,gen1
L100000822981,gen4
L100000822982,gen0
L100000822983,gen4
L100000822984,gen4
L100000822985,gen0
L100000822986,gen4
L100000822987,gen4
L100000822988,gen4
L100000822989,gen0
L100000822990,gen4
L100000822991,gen4
L100000822993,gen0
L100000822994,gen0
L100000822995,gen0
L100000822996,gen0
L100000822997,gen0
L100000822998,gen4
L100000822999,gen4
L100000823000,gen1
L100000823001,gen4
L100000823002,gen1
L100000823003,gen1
L100000823004,gen0
L100000823005,gen0
L100000823006,gen1
L100000823007,gen1
L100000823008,gen1
L100000823009,gen1
L100000823010,gen4
L100000823011,gen1
L100000823012,gen0
L100000823013,gen0
L100000823014,gen4
L100000823015,gen1
L100000823016,gen4
L100000823017,gen4
L100000823018,gen1
L100000823019,gen4
L100000823020,gen2
L100000823021,gen2
L100000823023,gen4
L100000823024,gen4
L100000823025,gen4
L100000823026,gen4
L100000823027,gen4
L100000823028,gen1
L100000823029,gen4
L100000823030,gen2
L100000823031,gen1
L100000823032,gen1
L100000823033,gen2
L100000823036,gen2
L100000823037,gen2
L100000823038,gen2
L100000823039,gen2
L100000823040,gen2
L100000823042,gen0
L100000823043,gen1
L100000823044,gen1
L100000823045,gen1
L100000823046,gen1
L100000823048,gen1
L100000823049,gen1
L100000823050,gen1
L100000823051,gen1
L100000823052,gen1
L100000823053,gen1
L100000823054,gen2
L100000823055,gen1
L100000823056,gen1
L100000823057,gen4
L100000823058,gen4
L100000823059,gen1
L100000823060,gen1
L100000823061,gen1
L100000823062,gen4
L100000823063,gen4
L100000823064,gen4
L100000823065,gen3
L100000822789,gen2
L100000823066,gen2
L100000823068,gen4
L100000823070,gen4
L100000823071,gen4
L100000823072,gen4
L100000823073,gen4
L100000823074,gen4
L100000823075,gen4
L100000823076,gen2
L100000823077,gen1
L100000823078,gen4
L100000823079,gen4
L100000823080,gen1
L100000823081,gen1
L100000823082,gen1
L100000823083,gen1
L100000823084,gen1
L100000823085,gen1
L100000823086,gen2
L100000823087,gen4
L100000823088,gen1
L100000823089,gen1
L100000823090,gen1
L100000823091,gen3
L100000823092,gen1
L100000823093,gen1
L100000823094,gen1
L100000823095,gen1
L100000823096,gen1
L100000823097,gen1
L100000823098,gen1
L100000823099,gen1
L100000823100,gen0
L100000823101,gen2
L100000823103,gen4
L100001003891,gen0
L100000823104,gen1
L100000823106,gen1
L100000823107,gen0
L100000823108,gen0
L100000823109,gen0
L100000823110,gen1
L100000823111,gen1
L100000823112,gen1
L100000823113,gen1
L100000823114,gen1
L100000823117,gen4
L100000823118,gen1
L100000823119,gen1
L100001003892,gen2
L100000823121,gen4
L100000823122,gen4
L100000823124,gen0
L100000823126,gen4
L100000823127,gen4
L100000823128,gen4
L100000823129,gen4
L100000823130,gen0
L100000823131,gen0
L100000823132,gen1
L100000823133,gen2
L100000823134,gen0
L100000823552,gen4
L100000822867,gen0
L100000823135,gen1
L100000823136,gen1
L100000823137,gen1
L100000823138,gen4
L100000823139,gen4
L100000823409,gen2
L100000823140,gen0
L100000823141,gen0
L100000823142,gen0
L100000823143,gen0
L100000823145,gen2
L100000823022,gen2
L100000823146,gen1
L100000823147,gen1
L100000823148,gen1
L100001003896,gen2
L100001003897,gen2
L100001003898,gen2
L100000823149,gen4
L100000823150,gen4
L100000823151,gen1
L100000823153,gen1
L100000823155,gen1
L100000823156,gen1
L100000823157,gen1
L100000823158,gen1
L100000823159,gen1
L100000823160,gen1
L100000823162,gen4
L100000823163,gen4
L100000823164,gen0
L100000823165,gen4
L100000823167,gen1
L100000823168,gen1
L100000823169,gen1
L100000823170,gen1
L100000823171,gen1
L100000823172,gen2
L100000823173,gen3
L100000823176,gen0
L100000823177,gen0
L100000823178,gen0
